clade_name	NCBI_tax_id	SRS149181	SRS149075	SRS148817	SRS148784	SRS148196	SRS148159	SRS147766	SRS147346	SRS146764	SRS145497	SRS144714	SRS144506	SRS144362	SRS144297	SRS143991	SRS143876	SRS143780	SRS143598	SRS143417	SRS143342	SRS143181	SRS143148	SRS143070	SRS142781	SRS142712	SRS142599	SRS142542	SRS142505	SRS142503	SRS140645	SRS140513	SRS140492	SRS105082	SRS104400	SRS104197	SRS103987	SRS101433	SRS101376	SRS100021	SRS098881	SRS098827	SRS098717	SRS098655	SRS098514	SRS097958	SRS097920	SRS097889	SRS078665	SRS078419	SRS078242	SRS077849	SRS077753	SRS077641	SRS077589	SRS077552	SRS077502	SRS077454	SRS077392	SRS077294	SRS077231	SRS077194	SRS077127	SRS076929	SRS076876	SRS076756	SRS075984	SRS075878	SRS075773	SRS075341	SRS075078	SRS074964	SRS074670	SRS064973	SRS063518	SRS063489	SRS058070	SRS056273	SRS055533	SRS054352	SRS053649	SRS053573	SRS053356	SRS050026	SRS049896	SRS049402	SRS045739	SRS045528	SRS043667	SRS024663	SRS021219	SRS021153	SRS020622	SRS017916	SRS016438	SRS016437	SRS013639	SRS013638	SRS013098	SRS012969	SRS012849
s__Actinomyces_sp_HPA0247	2|201174|1760|2037|2049|1654|1203556	0	0	0	0	0	0	0	0	0.00035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5e-05	0	0
s__Actinomyces_sp_ICM47	2|201174|1760|2037|2049|1654|936548	0.00089	0	0	0	0	0	0	0	0	0	0.00165	0.00504	0	0.00132	0	0	0	0	0	0	0	0	0	0	0.0031	0	0.00272	0	0	0.00796	0.00189	0	0	0	0	0	0	0.00264	0	0	0	0	0	0	0.00057	0.00063	0	0.00059	0.00024	0	0	0.00214	0.00121	0	0	0	0	0.00455	0	0	0	0.00011	0	0.00074	0.00156	0	0.00074	0	0	0	0	0	0	0.00559	0	0.00011	0.00061	0.00012	0	0	0	0	0	0.00133	0	0.00031	0.00302	0	7e-05	0	0	0.00041	0.00309	0	0	0.00433	0	0.0011	0.00039	0
s__Actinomyces_sp_S6_Spd3	2|201174|1760|2037|2049|1654|1284680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026	0	0	0	0
s__Actinomyces_sp_oral_taxon_181	2|201174|1760|2037|2049|1654|712121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_sp_oral_taxon_448	2|201174|1760|2037|2049|1654|712124	0	0	0	0	0	0	0	0	0	0	0	0.00621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_turicensis	2|201174|1760|2037|2049|1654|131111	0	0	0	0	0.05297	0	0	0	0	0	0	0	0.00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Varibaculum_cambriense	2|201174|1760|2037|2049|184869|184870	0	0	0	0	0	0	0	0	0	0	0	0	0.00039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Aeriscardovia_aeriphila	2|201174|1760|85004|31953|240233|218139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00274	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00122	0	0	0	0.00112
s__Bifidobacterium_adolescentis	2|201174|1760|85004|31953|1678|1680	0.00944	0	0	0.07192	2.42497	0.44037	0	0.02483	0.05972	0	0	0.05453	0.05495	0	0	0.02206	0	0	0	0	0.14215	0.33895	0.07091	0	0	0	0	0	0	0	0.04185	3.36531	0.06183	0	0	0	0.11034	0.23978	0.46179	0	0	0.43157	0.45438	0	0	0.24075	0	0.01583	0.13589	0	0.43509	0.01034	0.21345	0	0	0	1.18013	0	0.237	0.15298	0.02861	0	0	0	0.31782	0	6.94445	0.1803	0	0.15836	0	0.10919	0.00976	0	0	0	0.76873	1.72831	0.04261	0	0	4.76743	0.06506	0.10557	0.24216	0.07344	0.2074	0.10547	0	0	0	0	0	0	0	0.73608	0.39448	0.15135	0.27457	0.62593
s__Bifidobacterium_angulatum	2|201174|1760|85004|31953|1678|1683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00103	0	0.13917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bifidobacterium_animalis	2|201174|1760|85004|31953|1678|28025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bifidobacterium_bifidum	2|201174|1760|85004|31953|1678|1681	0	0	0	0	0.1542	0	0	0	0	0	0	0	0	0	0	0.00888	0	0	0.01409	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10731	0	0	0.00144	0	0.0329	0.08585	0.02944	0	0	0	0	0	0	0	0.03909	0	0	0	0.00332	0.00369	0	0	0	0	0	0	0	0.00342	0	0	0	0	0	0	0.09901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9e-05	0	0.00077	0.08451	0.05158	0	0	0	0	0	0	0	0.00153	0	0	0	0
s__Bifidobacterium_breve	2|201174|1760|85004|31953|1678|1685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bifidobacterium_catenulatum	2|201174|1760|85004|31953|1678|1686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01094	0	0	0	0	0.03411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0869	0	0	0	0.06564	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03557	0.00486	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bifidobacterium_longum	2|201174|1760|85004|31953|1678|216816	0.04257	0	0.03578	0.00768	0.24179	0.02695	0	0.02351	0.03831	0	0.01782	0.0103	0.34302	0.00525	0	0.03158	0.01716	0	0.00404	0.02151	0.03381	0	0.0245	0	0	0	0.01556	0	0	0	0	0.70963	0.02422	0	0	0.00614	0.05511	0.10061	0.10367	0.00882	0	0.65792	0.30312	0	0.00375	0.01945	0	0.01071	0	0	0	0.08969	0.00099	0	0	0	1.24511	0	0.00175	0.0083	0.01719	0	0	0	0.08052	0.04878	0.42366	0.07618	0	0.07508	0.02934	0.04981	0.09286	0	0.0251	0	0.05712	0.00806	0.00384	0	0.00334	0.20869	0.02566	0.04806	0.67943	0.01116	0.10754	0.03266	0	0	0	0.00232	0	0	0	0.02267	0.01165	0.0967	0	0.13133
s__Bifidobacterium_pseudocatenulatum	2|201174|1760|85004|31953|1678|28026	0	0.04779	0	0	0.1348	0	0	0	0.01913	0.12435	0.0381	0	0	0.19047	0	0	0	0	0.0031	0	0.0001	0	0.00298	0	0	0	0	0	0	0	0	0.10516	0	0	0	0	0	0.26547	0	0.0219	0	0.18583	0	0	0.28143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00334	0	0.06014	0	0	0	0	0	0	0.0136	0	0	0.00897	0	0	0	0.02879	0.00069	0	0	0	0.00214	0	0	0	0	0	0	0	0
s__Bifidobacterium_pseudolongum	2|201174|1760|85004|31953|1678|1694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Gardnerella_vaginalis	2|201174|1760|85004|31953|2701|2702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0207	0	0	0	0	0	0	0	0.01298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Corynebacterium_accolens	2|201174|1760|85007|1653|1716|38284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00562	0	0	0	0	0	0	0
s__Corynebacterium_amycolatum	2|201174|1760|85007|1653|1716|43765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Corynebacterium_jeikeium	2|201174|1760|85007|1653|1716|38289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Corynebacterium_matruchotii	2|201174|1760|85007|1653|1716|43768	0	0	0	0	0	0	0	0	0.00043	0	0.00076	0.00267	0	0	0	0	0	0	0	0	0	0	0	0	0.01141	0	0.00178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00186	0.00115	0	0	0	0	0	0.00163	0.00195	0	0	0	0	0.00463	0	0.0013	0	0	0	0	0.00028	0	0.00059	0	0	0	0	0	0	0.00253	0	0	0	0	0	0	0	0	0	0.0018	0	0	0.00331	0	0	0	0	0	0.02266	0	0.00074	0.00286	0.00017	0.00164	0	0
s__Corynebacterium_sp_HMSC08A12	2|201174|1760|85007|1653|1716|1581134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Lawsonella_clevelandensis	2|201174|1760|85007||1847725|1528099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Rothia_aeria	2|201174|1760|85006|1268|32207|172042	0	0	0	0	0.00072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00096	0	0	0	0	0	0.00615	0	0	0	0	0	0	0
s__Rothia_dentocariosa	2|201174|1760|85006|1268|32207|2047	0	0	0	0.00034	0	0	0	0	0	0	0.00102	0.00014	0	0	0	0	0	0	0	0	0	0	0	0	0.0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00033	0	0	0	0	0	0	0.00132	0	0	0	0.00081	0	0	0	0	0	0	0	0	0.00102	0	0	0	0	0	0	0	0	0.00121	0	0	0	0	0	0	0	0	0	0.00178	0	0	0.00218	0	0	0	0	0	0.04021	0	0	0.00105	0	0.0012	0	0
s__Rothia_mucilaginosa	2|201174|1760|85006|1268|32207|43675	0	0	0	0	0	0	0	0	0	0	0	0.00156	0	0	0.00071	0	0	0	0	0	0	0	0	0	0	0.0031	0.00056	0	0	0.01037	0.00206	0.00118	0	0	0	0	0	0.00641	0.0008	0	0	0	0	0	0.00058	0	0	0.00112	0.00095	0	0.00118	0.00516	0.00065	0	0	0	0	0.00148	0	0	0	0	0	0	0.00026	0.0011	0.00019	0	0	0.00118	0	0.00037	0.0001	0.00478	0	0.00036	0.00156	0.00098	0.00042	0	0.00028	0	0.00034	0.00238	0.00031	9e-05	0.00613	0.00067	0.00063	0.0007	0	0.00035	0.00915	0.00104	0	0.00481	0	0.00433	0.00032	0.00029
s__Cutibacterium_acnes	2|201174|1760|85009|31957|1912216|1747	0	0	0	0	0	0	0.00044	0	0	0	0	0	0	0	0	0	0	0.00021	0.00011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00308	0	0.07143	0	0	0	0	0.00191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00097	0	0	0	0	0.00024	0	0	0	0.64009	0	0	0	0	0.00052	0	0
s__Cutibacterium_granulosum	2|201174|1760|85009|31957|1912216|33011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03196	0	0	0	0	0	0	0
s__Propionibacterium_freudenreichii	2|201174|1760|85009|31957|1743|1744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Atopobium_deltae	2|201174|84998|84999|1643824|1380|1393034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Atopobium_minutum	2|201174|84998|84999|1643824|1380|1381	0	0	0	0	0	0	0	0	0	0	0	0	0.15155	0	0.00114	0	0	0	0	0.00061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Atopobium_parvulum	2|201174|84998|84999|1643824|1380|1382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Atopobium_vaginae	2|201174|84998|84999|1643824|1380|82135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Olsenella_scatoligenes	2|201174|84998|84999|1643824|133925|1299998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01434	0	4e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03861	0	0.01652
s__Collinsella_aerofaciens	2|201174|84998|84999|84107|102106|74426	0.19221	0.15255	0	0.15308	0.47488	0	0	0.05444	0.35226	0.13556	0.30463	0.63237	0.14692	0.25662	0	0.16778	0.02337	0	0.03743	0.1125	0.07029	0.16543	0.49534	0.00588	0	0.03888	0	0	0	0	0.0532	1.25482	0.08584	0.40287	0	0.04076	0.03194	0.36404	0.00066	0.07215	0.02001	0.03181	0.69406	0	0.33704	0.476	0.1072	0.10023	0.58241	0	0.09651	0.18125	0.25061	0.00713	0	1.58132	0.00388	1.01217	0.13087	0.41723	0.24208	0	0.15425	0.23364	0.18442	0	0.69172	0.08725	0.0697	0.09291	0.08051	0	0.07962	0.19523	0.09414	0.01323	0.36387	0	0.07934	0.10005	0.07112	2.19533	0.29673	0.37396	0.30072	0	0.35259	0.07942	0	0	0	0	0	0	0	0.69536	0.58271	0.32874	0.32157	2.2535
s__Collinsella_intestinalis	2|201174|84998|84999|84107|102106|147207	0	0	0.50206	0	0	0	0	0	0.26726	0	0.00023	0.00129	0.00016	0	0	0.00265	0	0	0	0.00019	0	0	0	0	0	0	0.30539	0	0	0	0	0.00506	0.0001	0.00073	0	0.00089	0.00677	0.0023	0.20951	0.00059	0	0.04664	0	0	0.00021	0.0007	0.00036	0	0.00041	0	0	0.00678	0.00075	0.0946	0	0.00052	0.02877	0.00188	0.17153	0	0.00063	0.01124	0	0	0	0.47797	0.00278	0	0	0	0	0.04717	0.00157	0.00053	0	0	0.00068	0	0	0	0	0.01	0.00025	0.00045	0.02	0.03327	0.01282	0	0	0.00133	0	0	0	0	0	0.00076	0	0.00134	0.00106	0.00141
