clade_name	NCBI_tax_id	SRS150038	SRS149973	SRS149696	SRS149647	SRS149585	SRS149492	SRS149334	SRS149286	SRS149237	SRS149190	SRS149084	SRS148979	SRS148826	SRS148777	SRS148730	SRS148520	SRS148414	SRS148367	SRS148287	SRS148262	SRS148205	SRS148193	SRS148100	SRS147937	SRS147871	SRS147745	SRS147718	SRS147670	SRS147547	SRS147442	SRS147386	SRS147338	SRS147281	SRS147184	SRS147128	SRS147106	SRS147057	SRS146878	SRS146866	SRS146830	SRS146797	SRS146750	SRS145509	SRS144765	SRS144707	SRS144621	SRS144427	SRS144402	SRS144306	SRS144237	SRS144144	SRS144121	SRS144096	SRS144026	SRS144000	SRS143885	SRS143872	SRS143759	SRS143684	SRS143409	SRS143360	SRS143141	SRS143094	SRS142940	SRS142907	SRS142664	SRS142608	SRS142551	SRS142483	SRS140657	SRS105148	SRS105121	SRS105074	SRS104968	SRS104921	SRS104842	SRS104711	SRS104653	SRS104368	SRS104320	SRS104291	SRS104177	SRS104093	SRS104045	SRS103983	SRS102814	SRS101445	SRS101388	SRS101280	SRS100033	SRS098860	SRS098735	SRS098624	SRS098567	SRS098482	SRS098071	SRS098057	SRS097972	SRS097918	SRS097907	SRS079308	SRS078738	SRS078677	SRS078431	SRS078254	SRS078223	SRS078003	SRS077922	SRS077861	SRS077639	SRS077549	SRS077520	SRS077447	SRS077390	SRS077245	SRS077104	SRS077022	SRS076926	SRS076874	SRS076821	SRS076770	SRS075993	SRS075959	SRS075876	SRS075819	SRS075771	SRS075445	SRS075410	SRS075353	SRS075090	SRS075033	SRS074976	SRS074682	SRS074598	SRS065542	SRS065310	SRS065099	SRS064937	SRS064493	SRS064449	SRS064329	SRS064260	SRS064219	SRS064158	SRS063999	SRS063603	SRS063485	SRS063246	SRS062931	SRS058808	SRS058730	SRS058261	SRS058053	SRS057886	SRS057619	SRS057490	SRS056951	SRS056537	SRS056447	SRS056113	SRS056090	SRS055450	SRS055401	SRS055378	SRS054995	SRS054653	SRS054430	SRS054196	SRS053917	SRS053895	SRS053630	SRS053584	SRS052876	SRS052604	SRS052095	SRS052061	SRS051941	SRS051930	SRS051378	SRS051244	SRS051228	SRS050799	SRS049392	SRS049318	SRS049268	SRS047634	SRS047590	SRS047265	SRS047126	SRS047113	SRS047100	SRS045763	SRS045588	SRS045313	SRS045197	SRS045015	SRS044448	SRS044366	SRS044230	SRS043867	SRS043772	SRS043755	SRS043729	SRS043454	SRS043083	SRS043018	SRS042984	SRS042307	SRS024649	SRS024561	SRS024504	SRS024355	SRS024289	SRS024144	SRS024119	SRS024087	SRS024021	SRS023964	SRS023841	SRS023538	SRS023358	SRS022980	SRS022883	SRS022725	SRS022536	SRS022281	SRS022149	SRS022083	SRS021960	SRS021477	SRS020862	SRS020406	SRS020340	SRS020283	SRS019980	SRS019906	SRS019798	SRS019591	SRS019494	SRS019443	SRS019387	SRS019360	SRS019333	SRS019276	SRS019225	SRS019176	SRS019128	SRS019077	SRS019028	SRS018975	SRS018929	SRS018826	SRS018802	SRS018778	SRS018750	SRS018691	SRS018665	SRS018616	SRS018602	SRS018573	SRS018513	SRS018479	SRS018394	SRS018337	SRS018157	SRS018061	SRS017788	SRS017757	SRS017634	SRS017445	SRS017387	SRS017330	SRS017304	SRS017227	SRS017088	SRS017025	SRS016876	SRS016665	SRS016474	SRS016393	SRS016331	SRS016200	SRS016139	SRS016092	SRS016071	SRS016043	SRS015989	SRS015947	SRS015899	SRS015803	SRS015755	SRS015692	SRS015650	SRS015596	SRS015574	SRS015470	SRS015440	SRS015378	SRS015308	SRS015278	SRS015215	SRS015158	SRS015128	SRS015063	SRS015044	SRS014941	SRS014894	SRS014690	SRS014578	SRS014524	SRS014476	SRS014402	SRS013949	SRS013938	SRS013836	SRS013663	SRS013533	SRS013252	SRS012989	SRS012922	SRS011343	SRS011255	SRS011152	SRS011126	SRS011098
g__Pseudopropionibacterium	2|201174|1760|85009|31957|1912217	0	0	0.12698	0.08075	1.18099	0	1.29497	0.67516	0.12976	1.4589	0.34178	0.01266	0.47617	0.86911	2.7626	0.36657	0.00678	0.17755	1.18738	1.01926	1.02233	0.55568	0	0.01838	0.98345	0.99207	1.23993	0.52715	0.27262	0.02226	0.2116	0.55925	0.34597	0.0408	0.91773	0.1357	0.44813	0.97828	0	0.002	0.35959	0	0.03109	0.24877	0.30237	0.92263	0.01861	0.00936	0.00991	0.71974	0	0.62529	0.48732	0.78421	0.82673	1.54448	0.49984	0.07592	2.68102	0.00536	0.73452	0.8161	0.00435	0	3.90611	2.60872	0.70606	5.2758	0.20348	0.94191	0.38286	0.32674	2.44646	0.98388	0.10371	0.59615	0.65713	0.60146	0.05123	0.57257	0.16617	0.96058	0.04054	0	1.33966	0.49982	0.46323	0.37469	1.26371	0.65901	1.00262	0.9365	0.44636	0.51429	0.59532	0.1886	0.54137	0.02065	0.80227	0.15184	0.24266	0.40161	5.59635	0.02347	1.35873	1.44928	1.15239	0.01087	0.4793	10.43071	0.84111	0.05609	0.33377	0.48082	6.04189	0.05589	1.19074	0.05414	1.06838	0.24537	0.06469	2.60488	0.70203	0.12407	0.18816	0.38952	1.57881	0.84696	0.03953	0.75052	1.01286	0.00639	0.77089	0.28348	0.65887	0.60782	0.09145	0.25351	0.42448	0.5158	0.00299	0.44078	0	0.56906	0.36849	0.40614	1.02266	0.86353	0.87449	0.97498	0.01419	0.47154	0.21496	1.81291	0.00517	0.01702	0.44018	1.99779	2.37387	0.0337	1.62969	0.15026	0.50317	0.21432	0.0622	0.82762	0.17869	0.83433	0.25806	0.04024	0.05333	0.62984	0.53719	1.03536	0.06823	1.99394	0.58049	0.56034	1.61055	0.46522	0.86483	0.76134	0.05922	0.2444	1.07536	0.52447	0.06359	0.23459	0.00887	0.55813	0.34351	0.72262	0.36228	0.00221	0.76623	9.48682	0.20947	0.57734	0.52277	0.7677	0.01303	1.60907	0.58145	0.40279	1.06636	2.15818	0.06104	0.01631	0.11085	0.94918	0.05128	0.15241	1.08556	0.0182	0.51163	0.36235	0.10526	1.15818	0.60058	0.17429	1.31988	0.46759	1.27072	0.25256	0.17093	1.52247	0.23624	0.29114	0.13354	0.48915	0.34175	0.09595	0.10871	0.35196	0.13094	0.63657	0.03506	0.11856	3.52662	0	0.27019	0.24004	0.18128	1.16644	0.65525	0.24039	0.92344	1.09921	0.00139	4.4604	1.34193	0.44759	0.06489	0.04322	2.15389	0.13555	1.19916	0.2046	0.40908	0.29481	1.01936	1.61018	0.53393	0.02037	0.86253	0.11208	0.83092	1.08864	0.60575	4.26501	1.34674	0	0.01226	0.64868	0	0.06952	1.43197	2.45722	1.03922	0.1904	2.39164	0.22724	0	0	1.50099	0.87969	0.03552	0.22526	0.03323	0.27073	0.58375	1.48028	0.26508	1.5365	0.49243	1.20782	1.68539	0.09943	0.02534	0.01648	0.52817	0.5256	1.13337	0.09351	0.31592	0.02198	0.97798	0	2.80585	0.12419	0.54372	0.88547	1.19337	0.16169	0.05562	0.88204	1.07615	0.52536	0.19428	1.30481	0.98707	2.21492	1.00902	1.34534	0.1288
g__Atopobium	2|201174|84998|84999|1643824|1380	0	0.0885	0	0.036	0	0.06809	0.01528	0	0.00215	0	0	0.0369	0	0	0	0	0.01441	0	0	0	0	0.00334	0.01378	0	0.00113	0.02481	0.02277	0.0006	0.10972	0	0.01833	0.02912	0	0.00521	0.00352	0.03038	0	0.00089	0.00656	0.00618	0	0.01804	0.07358	0	0	0	0	0	0	0.00373	0	0.02625	0.01649	0.00044	0	0.00913	0.01268	0.00751	0	0.1142	0	0	0.01037	0	0.00359	0.04485	0.00131	0	0.0019	0	0	0	0	0	0.01284	0.06359	0	0.02952	0	0	0.03459	0.05755	0.02744	0.05368	0	0	0.02813	0	0	0.02311	0.00073	0	0.00032	0.00501	0.00146	0.05722	0	0	0.00798	0	0.00064	0.01081	0.01119	0.01039	0.0044	0	0.01702	0	0	0.00197	0	0.02051	0	0	0	0.00163	0	0.31242	0	0.05483	0	0	0	0	0.02164	0	0	0	0.01013	0.00143	0.02311	0.01842	0	0	0	0	0	0	0	0.00165	0.08422	0	0	0	0.01388	0.00168	0	0.18179	0	0	0.00626	0.00097	0.0566	0	0	0.00933	0.57484	0	0	0.11647	0	0	0	0.00028	0.0065	0.00981	0.00219	0	0	0	0.01228	0	0.03951	0.06656	0.07253	0.08336	0	0.01453	0	0.01202	0.00104	0	0	0.02287	0.27386	0	0.01026	0	0	0	0.02562	0.10896	0	0.00311	0.23127	0	0.08873	0	0.01749	0	0	0.00431	0.27216	0.06272	0	0	0.0017	0	0.71631	0.04088	0	0.02059	0.00141	0.03991	0.02576	0.02927	0	0.26024	0.04826	0	0.05891	0.3266	0.00419	0.01536	0.02878	0.04733	0.02824	0.05691	0.03307	0	0.0013	0.02205	0.00142	0.3557	0.14374	0	0.03555	0.02005	0	0	0	0	0	0.03458	0	0.01367	0.01456	0	0.00304	0	0	0.46903	0	0	0.00235	0.02032	0.00541	0	0.00203	0.00588	0	0	0	0.01348	0	0	0.04394	0.04889	0.05633	0.00249	0	0.00361	0.03482	0.04129	0	0	0.02458	0.00546	0.10789	0.07011	0	0	0	0	0.00995	0.02176	0.00257	0.00028	0	0	0	0	0	0	0.15039	0.00214	0.00116	0	0.0028	0.00326	0.30711	0	0.00464	0	0.00725	0.01031	0	0.09753	0.0083	0	0.00977	0.10685	0	0.00189	1.61738	0.22829	0.08083	0.01886	0	0	0.00046	0.14034	0	0.0128	0.00548
g__Olsenella	2|201174|84998|84999|1643824|133925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00026	0	0	0	0	0	0	0.00023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00514	0	0	0	0	0	0	0	0	0	0	0	0	0.0215	0	0	0	0	0	0	0	0	0	0	0	0	0.00214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00044	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01888	0.01209	0	0	0	0	0	0.02584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00154	0	0	0	0	0	0	0	0	0	0	0	0.00091	9e-05	0	0	0	0.00239	0	0	0	0	0	0	0.16283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09841	0.01594	0.0001	0	0	0	0	0	0	0	0
g__Collinsella	2|201174|84998|84999|84107|102106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00828	0.00401	0	0	0	0	0
g__Enorma	2|201174|84998|84999|84107|1472762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Slackia	2|201174|84998|1643822|1643826|84108	0	0	0	0	0	0	0.00098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05789	0	0	0	0	0	0	0	0	0	0.00017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00799	0	0	0	0	0	0	0	0	0	0	0	0.00012	0.00022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00052	0	0	0	0	0	0	0	0	0.00385	0	0	0	0	0	0	0	0	0	0.01138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00514	0	0	0	0	0	0	0	0.04316	0.01783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00034	0.00438	0	0	0	0	0	0.0007	0	0	0	0	0	0	0	0	0	0	0	0	0.00492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00726	0	0	0	0.01017	0.00218	0.00384	0	0	0	0	0	0	0	0
g__Bacteroidetes_unclassified	2|976||||	0	0	0	0	0.0112	0	0.03812	1.33886	0	0.03477	0	0	0	0	0.23444	0	0	0	0	0.00052	0.26473	1.07982	0	0	0	1.72255	1.08156	0	0.45179	0	1.08188	0	0	0	0.05587	0.00604	0	0.0233	0	0	0.52912	0	0	0	0	0.28634	0	0	0	1.07431	0	0.58669	0.81981	2.41926	2.28044	0.91523	0	0.03255	0	0	0	0	0	0	0	1.01844	0	0.93861	0.66147	0	0	0	0.0065	0	0	0.00912	3.33132	0.93969	0	0.05909	0	0.01048	0	0	0.16151	0.00098	0.07515	0	2.90097	0.00178	0	0	0.02104	0.14003	0	0.5483	0	0.02026	0	0.0031	0	0	0.00188	0	0	0.01912	0.32604	0	0	0	0.78091	0	0	0	0	0	0.66795	0	0.22008	0	0	0	0.00454	0	0.0166	0	0	0	0.00011	0	0	0.34272	1.08118	0	0.08071	0	0	0.08193	0	0.61446	0.00323	0.34142	0	0.41745	5.50376	1.83205	0.00061	0	0	8.94199	0.00503	0	0.39662	0.14598	0	0	3.63525	0.03778	0.16584	0.02507	0	0.00081	0.6849	1.36101	0	0	0.6233	0	0.00253	0	0	0.17737	0	0.05044	0.02348	0.13587	0.47585	0.32417	0.16526	0	0	0.00245	0	0.11489	1.41021	4.80507	0.03062	0.12127	0	0.03683	0	0.58758	0	0.24411	0	0	0.12619	0	0.00118	0	0	0.03453	0	0.09394	0.49803	0.0076	0	0	0.29205	1.86405	0	0	0.01992	0	0.68773	0.79582	0	0.77615	0	0	0.1112	7e-05	5.66867	0.00659	0	1.04884	0.02275	0	0.05832	0.22304	0	0	0	0.9331	0	0	0	0	0.45382	0	0	0	0	0.10453	0	0.26908	1.2448	0	0	0	0	1.11601	0	0.00158	0.09669	0	0.12192	0	0	0	0	0	0.06562	0.02513	2.70555	0	0.00042	0.0005	5.82477	0.03027	9.65544	0	0	0.07057	0.00926	0	0	0	1.68909	0	5.86093	0	0	0	1.6329	2.81932	0	0.03527	0	0.05885	0.02143	0	1.64532	0	0	0	0	0	0	0	0.52415	0	0.02737	0	0.04684	0.02137	0	0	6.93139	0	1.98035	0	0.13942	0	0.22994	0.52161	0.50444	0.00924	0.48916	0	0.25031	0.94939	0.0602	1.31905	0
g__Bacteroides	2|976|200643|171549|815|816	0	0	0.00709	0	0	0.00226	0.00077	0.01376	0.02373	0.00041	0	0	0.0003	0	0.01281	0	0.00098	0	0.26027	0	0.06342	0	0.00592	0.0008	0	0	0	0.04763	0.0114	0	0.00788	0.00593	0.01941	0	0.00015	0	0.01166	0	0	0	0	0	0.00025	0	0	0	0	0.03092	0.00235	0.28909	0	0.00747	0	0	0	0	0	0	0.00332	0	0	0	0	0	0	0	0.0187	0	0	0	0.00269	0	0	0.00419	0.00294	0	0	0.00265	0	0	0.00253	0	0	0	0	0	0.03611	0.0156	0.00313	0	0.00381	0	0	0	0.00276	0.03565	0	0.00175	0.0094	0	0	0.00045	0.00105	0.00136	0.02392	0	0	0	0.03374	0.0035	0.005	0.00597	0.00787	0	0.00746	0.00216	0.00484	0.00127	0	0.00646	0.00435	0	0	0.00771	0.02905	0.00298	0.13533	0.00814	0.00499	0	0	0.00569	0.00121	0	0.02443	0.01547	0	0	0	0	0	0	0.13369	0.00452	0	0	0.01011	0	0	0	0	0	0	0	0.00976	0.00524	0.00211	15.34435	0	0.09353	0	0.02805	0	0	0.00756	0	0	0.06586	0.00015	0.00178	0.00711	0.00221	0	0	0.06896	0.00229	0	0	0	0	0	0	0	0.00074	0	0	0.00157	0	0.11784	0	0	0	0	0	0	0	0.00175	0	0.00233	0	0	0	0	0.01139	0.00056	0	0.00849	0	0.00063	0	0	0	0.02818	0	0	0	0	0.00102	0.08952	0	0.61416	0	0.00075	0	0	0.15986	0	0.0024	0	0.02527	0	0	0	0	0.00388	0	0	0	0	0	0	0.07472	0	0.32466	0	0.02242	0	0	0	0	0.01427	0.00952	0.00388	0	0.00441	0.01249	0	0	0.04653	0	0.01007	0	0	0	0	0	0.0101	0.00036	0	0.00404	0	0	0	0.01284	0.08861	0	0	0	0.0003	0	0.11863	0	0.53416	0	0.01591	0	0	0	0	0	0	0.00314	0	0.00014	0	0.0075	0	0	0.00039	0.0019	0	0	0.00177	0	0	0	0	0	0	0.00861	0	0.00701	0	0	0	0	0	0.00026	0.27796	0.00057	0	0	0	0	0
g__Barnesiella	2|976|200643|171549|2005519|397864	0	0	0	0	0	0	0	0	0.00184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00067	0	0	0	0	0.00087	0	0	0	0	0	0	0	0	0.0754	0	0.00067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Odoribacter	2|976|200643|171549|1853231|283168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03795	0	0	0	0	0	0
g__Porphyromonas	2|976|200643|171549|171551|836	0	0.0756	0	0.69797	0.53347	0	0.14461	0.8303	1.39544	0.69288	0.15625	0.02658	0	0.07473	0.41461	2.90457	0	0.48649	1.05051	1.1232	2.87187	2.71676	0.02901	0	0.12663	1.62955	1.34335	0.17425	1.69858	0.92031	0.93041	0.08295	0.4537	0.471	2.85816	2.02026	0.2958	5.03823	0	0	0.19466	0	0.00228	0.20848	1.22098	2.68984	0.49949	0.60548	0.59903	1.59646	0.25818	1.67946	1.79064	2.62103	2.06911	5.39331	0.05064	0.39828	1.24926	0.00176	0.06605	0.175	1.11534	5.5432	0.27443	1.35864	0	0.81674	1.26864	0	0.06765	0.06415	0.36096	0.34296	0.00187	2.59551	7.70299	2.11993	0.02582	1.72474	2.11287	0.22355	0.03625	0.00367	0.92005	4.97204	2.94939	0.48114	1.43325	1.19728	0.11658	0.17826	2.42947	1.38899	0.1053	0.09905	0.07993	1.99883	0.05232	1.86589	3.07411	0.16901	3.07685	0.07984	0.00581	1.82911	2.76615	0.01422	1.06113	0.64074	0.88167	0.49536	0.60815	1.51707	0.35575	0.00274	2.31887	0	1.39089	1.03772	1.02522	0.24904	1.14402	1.0118	0.77883	1.34999	0.46238	0.56018	0.58917	0.01292	0	0.55694	0.12721	0.04233	4.1238	2.63453	0.26755	0.62709	0.00045	1.64752	5.56161	2.2925	0	1.3094	2.18636	5.11916	0.85537	0.16015	1.10145	1.67372	0.07611	0.02675	1.32669	1.33613	0.01554	1.29719	1.09214	0.51109	0.97882	4.43636	0.61473	2.98931	0.90491	18.47407	0	0.12836	2.50877	0.00897	6.75849	0.04568	0.00024	0.89185	0.74936	2.20546	4.1691	0.42857	0.25956	0.78026	1.13596	2.10073	3.28617	1.08613	1.05276	4.75702	3.31866	3.88232	5.91509	1.06685	0.0145	5.11334	0.25566	1.62666	0.26774	2.50335	0.64513	1.77219	0.24141	0	0.29698	0.01781	1.60528	1.19399	1.07563	1.55019	0.70807	1.52349	0.61452	0.14513	1.29665	1.38358	0.51356	0.95822	2.10134	0.15089	2.67924	2.76032	0.03593	6.0111	1.21565	0.01184	0.2821	0.55085	2.04234	7.9252	1.03234	2.14922	0.41288	1.81931	1.06767	3.4612	0.05967	0.77977	0.0835	15.71485	0.42757	0.41877	0.22799	0.12752	9.32001	0.01607	0.16747	0.30574	0.4971	2.88608	0.35044	0.21536	2.511	2.54708	1.19851	1.22817	0.36903	3.27526	0.00052	0.00914	6.54936	0.03098	7.12249	0	0.40875	0.55184	1.96267	2.56335	0.32799	0.00225	2.52283	1.73837	5.77728	6.18348	1.53107	0.49803	5.57211	0	0.00144	1.96743	0.81326	0.08477	1.79748	0.69633	1.57086	1.15209	0.50607	0.1149	0.01772	0.07842	1.28735	2.02019	1.07394	0.0623	0.79996	1.15575	1.06593	7.34853	1.08442	0.56738	1.94138	0.74337	0.72479	0	0.17291	0.19661	0.20024	0.28114	1.66355	0.13182	2.14256	0.42358	0.3749	1.64914	0.69151	0.16242	1.4334	1.00732	0.80091	0.06323	1.04873	4.23991	0.73798	2.46217	0.44509	0.34639	2.77039	2.86037	0.80872	2.00831	0.04519
